ID1, ID2, A12, A21, alpha12,,,
1102,137,761.7739,1393.7993,0.4376,Ethanol,CycloHexane,
1102,502,542.4128,772.4394,0.2937,Ethanol,Toluene,
1102,17,1114.2947,1305.9242,0.4758,Ethanol,nHeptane,
1102,507,1020.8405,889.3461,0.618,Ethanol,pXylene,
1103,1542,608.3777,646.0412,0.2913,OnePropanol,Tetrachloroethylene,
1103,1252,256.8999,-327.5173,0.3044,OnePropanol,Aceticacid,
1103,1253,-189.7856,-32.4657,0.307,OnePropanol,Propionicacid,
1103,2860,-406.3767,830.8897,0.3013,OnePropanol,TwoMethoxyethanol,
1103,1711,-602.9687,-45.3543,0.3061,Propylamine,OnePropanol,
1103,1278,276.6356,-423.9162,0.3025,OnePropanol,Methacrylicacid,
1103,1106,-2.8139,-13.8657,0.3034,OnePropanol,TwoMethylOnePropanol,
1103,1791,374.8691,-412.2861,0.311,OnePropanol,Pyridine,
1103,1351,504.09,125.6451,0.2993,OnePropanol,Methylmethacrylate,
1103,1314,340.021,111.7437,0.3005,OnePropnaol,Propylacetate,
1103,1123,12.2207,-31.8303,0.3033,OnePropanol,ThreeMethylbutanol,
1103,1571,456.2867,538.5114,0.2946,OnePropnaol,Chlorobenzene,
1103,1797,529.6444,-608.3163,0.3054,OnePropanol,TwoMethylpyridine,
1103,2797,479.7439,-540.4699,0.3045,OnePropanol,ThreeMethylpyridine,
1103,2799,523.8291,-603.0924,0.3084,OnePropanol,FourMethylpyridine,
1103,1707,617.3558,-459.5845,0.2892,OnePropanol,Dipropylamine,
1103,1965,1615.0711,-498.3638,0.1028,OnePropanol,Hexamethyldisiloxane,
1103,502,25.622,922.0009,0.0175,OnePropanol,Toluene,
1103,2796,472.9353,-545.1853,0.296,OnePropnaol,Two6Dimethylpyridine,
1103,17,1198.972,1377.2975,0.5193,OnePropanol,Heptane,
1103,504,563.6173,475.5966,0.2921,OnePropanol,Pxylene,
1103,27,1109.304,334.2112,0.2907,OnePropanol,Octane,
1103,56,945.3159,520.2926,0.2895,OnePropanol,Decane,
1103,1136,1068.0694,-588.3325,0.2958,OnePropanol,OneDecanol Five7One,2c
1104,1103,167.2501,-175.2928,0.3057,TwoPropanol,OnePropanol,
1106,1921,639.8173,2491.0163,0.4385,isobutanol,Water,
1108,1921,471.7718,2030.8877,0.5155,Tertbutanol,Water,
1301,1101,584.572,298.5567,0.2962,MethylFormate,Methanol,
1312,1101,381.4559,346.536,0.2965,MethylAcetate,Methanol,
1312,1102,188.3139,158.0118,0.3013,MethylAcetate,Ethanol,
1313,1102,305.6041,330.5105,0.2988,EthylAcetate,Ethanol,
1313,1921,1285.988,1606.082,0.4393,Ethylacetate,Water,
1321,1102,505.1637,320.7403,0.2959,VinylAcetate,Ethanol,
1402,1101,705.9989,211.158,0.2953,DiethylEther,Methanol,
1402,1102,763.6707,71.1984,0.2946,DiethylEther,Ethanol,
1402,1921,1544.0251,2086.4776,0.3792,Diethylether,Water,
1403,1921,2665.1471,4202.0746,0.5409,Diisopropylether,Water,
1405,1101,851.4954,465.836,0.8178,MethylTertButylEther,Methanol,
1431,1101,608.9115,712.0226,0.7259,Dimethoxymethane,Methanol,
1431,1921,1608.07,1818.2947,0.4898,Dimethoxymethane,Water,
1442,1101,924.8499,-61.1796,0.2986,PropyleneOxide,Methanol,
1479,1102,661.3708,-200.6915,0.3015,Tetrahydrofuran,Ethanol,
1479,1103,562.4611,-302.2498,0.3003,Tetrahydrofuran,OnePropanol,
1479,1921,915.745,1725.0977,0.4522,Tetrahydrofuran,Water,
1501,1101,1339.9,488.6648,0.4622,Tetrachloromethane,Methanol,
1501,1103,1537.6384,537.2439,0.631,Tertachloromethane,OnePropanol,
1501,501,-4.9421,84.0212,0.305,Tetrachloromethane,Benzene,
1501,502,-69.681,95.3839,0.304,Tetrachloromethane,Toluene,
1501,504,-172.3762,122.4657,0.303,Tetrachloromethane,Ethylbenzene,
1501,506,-232.4578,163.8924,0.304,Tetrachloromethane,MXylene,
1501,507,-192.9687,121.7193,0.304,Tetrachloromethane,PXylene,
1501,510,-106.8166,13.4903,0.303,Tetrachloromethane,Isopropylbenzene,
1502,501,176.8791,-288.2136,0.306,Chloroform,Benzene,
1504,1101,1789.7165,-34.9448,0.2912,VinylCloride,Methanol,
1511,1101,1560.0282,441.3372,0.6234,Dichloromethane,Methanol,
1511,1102,1332.8036,-153.0761,0.3057,Dichloromethane,Ethanol,
1521,1101,1414.2712,-141.803,0.2949,Chloroform,Methanol,
1521,1102,1438.3602,-327.5518,0.3023,Chloroform,Ethanol,
1521,502,629.2214,-583.6169,0.297,Chloroform,Toluene,
1523,1103,636.9927,364.0596,0.2956,OneTwoDichloroethane,OnePropanol,
1523,502,-217.7768,251.5704,0.309,OneTwoDichloroethane,Toluene,
1523,505,718.2538,-479.1971,0.287,OneTwoDichloroethane,OXylene,
1523,507,848.1184,-557.9036,0.273,OneTwoDichloroethane,PXylene,
1527,501,-73.4845,97.5682,0.303,OneOneOnetrichloroethane,Benzene,
1541,1103,926.6139,196.0696,0.3007,Trichloroethylene,OnePropanol,
1541,502,185.3799,-250.7688,0.306,Trichloroethylene,Toluenep Three7One,7
1571,504,357.7079,-307.8057,0.307,Chlorobenzene,Ethylbenzene,
1571,507,-395.6312,359.7555,0.305,Chlorobenzene,PXylene,
1586,1103,1201.9959,506.8982,0.5468,Butylchloride,OnePropanol,
1681,501,294.4424,-185.2944,0.301,MethylIodide,Benzene,
1682,501,394.5891,298.1172,0.3,EthylIodide,Benzene,
1702,1101,-1018.143,-54.3882,0.3134,Dimethylamine,Methanol,
1702,1102,-1224.5739,370.7683,0.3105,Dimethylamine,Ethanol,
1702,1103,81.487,-703.3731,0.2697,Dimethylamine,OnePropanol,
1706,1103,991.6157,-435.2018,0.3067,Triethylamine,OnePropanol,
1706,1921,-5096.528,28437.138,0.0381,Triethylamine,Water,
1710,1921,-169.1652,1372.3121,0.2932,Diethylamine,Water,
1710,501,52.3512,-42.2029,0.281,Diethylamine,Benzene,
1710,502,91.4853,-153.9388,5.101,Diethylamine,Toluene,
1710,504,928.9662,-553.9006,0.345,Diethylamine,Ethylbenzene,
1711,1921,-455.9152,1301.6396,0.2981,Propylamine,Water,
1712,1102,-612.3956,-5.7834,0.3062,Butylamine,Ethanol,
1712,1103,-698.951,34.7593,0.3001,Butylamine,OnePropanol,
1712,1921,160.3429,2104.4002,0.6379,nButylamine,Water,
1712,501,65.9717,67.1231,0.302,Butylamine,Benzene,
1727,501,-344.6666,757.993,0.306,TertButylamine,Benzene,
1741,505,1357.7269,-110.2727,0.196,Ethylenediamine,OXylene,
1772,502,790.725,724.0955,0.935,Acetonitrile,Toluene,
1772,504,1102.5396,5.3234,0.298,Acetonitrile,Ethylbenzene,
1772,507,1413.0042,-210.0314,0.293,Acetonitrile,PXylene,
1773,502,-95.6685,717.0741,0.3,Propionitrile,Toluene,
1774,601,598.0263,-130.4323,0.302,Acrylontrile,Styrene,
1774,504,1304.6073,-338.2481,0.299,Acrylonitrile,Ethylbenzene,
1791,506,-78.8985,351.0029,0.3,Pyridine,MXylene,
1821,502,510.1471,-197.5696,0.301,Thiophene,Toluene Three9One,7
1860,502,386.4643,-304.6112,0.308,Fluorobenzene,Toluene,
1864,1103,922.5224,528.5894,0.2937,Hexafluorobenzene,OnePropnaol,
1864,502,668.6525,-666.7128,0.241,Hexafluorobenzene,Toluene,
1864,507,1004.5491,-949.1003,0.29,Hexafluorobenzene,PXylene,
1921,1051,1324.9767,814.1435,0.5663,Water,Acetone One,1a
1921,1052,653.9718,1883.6007,0.3607,Water,TwoButanone,
1921,1181,2419.3354,1844.3794,0.6308,Water,Phenol,
1921,1529,2435.8879,102.7658,0.0972,Water,OneOneTwoTwotetrachloroethane,
1921,1421,715.9592,548.8965,0.292,Water,OneFourDioxane,
1921,1845,1160.1372,467.9008,0.5573,Water,Sulfolane,
1921,2856,75.5965,328.8977,0.3009,Water,Nndimethylacetamide,
1921,1765,-803.1654,1732.7268,0.2954,Water,Morpholine,
1921,1105,2633.6951,504.0381,0.4447,Water,nButanol,
1921,1241,1310.8994,1920.1402,0.5778,Water,OneFourButanediol,
1921,1238,2531.7402,-758.0034,0.302,Water,TwoThreeButanediol,
1921,1202,1186.7304,-99.9,0.2974,Water,Diethylenegylcol,
1921,1889,2602.6374,436.9686,0.395,Water,Furfural,
1921,1791,1835.0881,419.8087,0.6802,Water,Pyridine,
1921,1767,-239.6197,573.8298,0.3055,Water,nMethylpyrrolidone,
1921,1123,3633.533,-494.8389,0.2816,Water,ThreeMethylbutanol,
1921,1111,19947.2334,-15910.4563,0.0056,Water,TwoMethylTwobutanol,
1921,1181,2385.3714,282.697,0.4942,Water,Phenol,
1921,1792,11965.5274,-7391.5468,0.0235,Water,Aniline,
1921,1797,1979.5492,197.0009,0.6371,Water,TwoMethylpyridine,
1921,2797,2559.3708,418.7524,0.5361,Water,ThreeMethylpyridine,
1921,2799,2325.9141,162.3029,0.5622,Water,FourMethylpyridine,
1921,1757,1473.9606,-66.4169,0.0811,Water,Phenylhydrazine,
1921,1080,2983.8991,-171.666,0.2673,Water,Cyclohexanone,
1921,1065,2121.4973,101.3068,0.1504,Water,Mesityloxide,
1921,1151,2232.9727,641.3504,0.4399,Water,Cyclohexanol,
1921,1315,3805.0038,918.2419,0.2951,Water,nButylacetate,
1921,2854,1323.2731,845.9826,0.678,Water,Diacetonealcohol,
